
0123,female,18to22,50,481,284,1152,1436472503700
0123,female,18to22,24,436,328,823,1436472507189
0123,female,18to22,58,431,308,967,1436472509285
0123,female,18to22,9,464,390,776,1436472510853
0123,female,18to22,74,500,369,950,1436472512614
0123,female,18to22,29,473,346,722,1436472514147
0123,female,18to22,34,506,355,855,1436472515699
0123,female,18to22,19,534,417,679,1436472517122
0123,female,18to22,66,482,428,1031,1436472518881
0123,female,18to22,4,508,645,1351,1436472521169
0123,female,18to22,42,519,422,999,1436472523248
0123,female,18to22,14,490,343,823,1436472525039
