
0085,male,18to22,76,291,270,5345,1436388429948
0085,male,18to22,11,532,323,2314,1436388435096
0085,male,18to22,52,655,308,2291,1436388438603
0085,male,18to22,1,456,153,1557,1436388441378
0085,male,18to22,68,750,177,2002,1436388444737
0085,male,18to22,16,717,427,1271,1436388447296
0085,male,18to22,36,345,260,1928,1436388450303
0085,male,18to22,6,650,367,2209,1436388453641
0085,male,18to22,44,711,174,2085,1436388456701
0085,male,18to22,21,238,182,1910,1436388459704
0085,male,18to22,60,135,369,2939,1436388463659
0085,male,18to22,26,102,384,2385,1436388467324
