
0106,female,41to50,41,696,578,1424,1436463902636
0106,female,41to50,2,722,416,1878,1436463906362
0106,female,41to50,57,657,401,1575,1436463909610
0106,female,41to50,7,929,361,1487,1436463913679
0106,female,41to50,65,305,347,1590,1436463917342
0106,female,41to50,22,527,338,1516,1436463921460
0106,female,41to50,73,569,172,2465,1436463926554
0106,female,41to50,17,712,432,1665,1436463930533
0106,female,41to50,49,387,153,1984,1436463934937
0106,female,41to50,27,530,359,1544,1436463938424
0106,female,41to50,33,465,347,1440,1436463942487
0106,female,41to50,12,535,429,1406,1436463946315
