
0010,female,23to30,48,546,318,4418,1433446815928
0010,female,23to30,7,875,160,1506,1433446818591
0010,female,23to30,40,278,124,1256,1433446821342
0010,female,23to30,17,899,705,1095,1433446823645
0010,female,23to30,72,152,187,1136,1433446825901
0010,female,23to30,12,982,738,402,1433446826907
0010,female,23to30,32,526,163,1184,1433446831567
0010,female,23to30,22,520,358,1126,1433446833758
0010,female,23to30,64,363,169,1269,1433446835917
0010,female,23to30,27,545,373,1925,1433446838716
0010,female,23to30,56,347,285,1176,1433446840876
0010,female,23to30,2,681,649,967,1433446842796
