
0166,male,18to22,45,500,461,1176,1443024810737
0166,male,18to22,22,874,419,1403,1443024814459
0166,male,18to22,69,480,378,1152,1443024817066
0166,male,18to22,12,265,407,1780,1443024820409
0166,male,18to22,61,621,595,1159,1443024823080
0166,male,18to22,27,500,362,1364,1443024825912
0166,male,18to22,53,481,518,1700,1443024829142
0166,male,18to22,2,308,430,2096,1443024832559
0166,male,18to22,37,625,493,1927,1443024835686
0166,male,18to22,17,704,436,1505,1443024838789
0166,male,18to22,77,719,568,2555,1443024842715
0166,male,18to22,7,706,403,1515,1443024846257
